Normalised,Name,Role,Label
sean sherlock,Seán Sherlock,Minister of State,Department of Foreign Affairs and Trade
sean smith,Seán Smith,Councillor,Meath County Council
sean tyrrell,Sean Tyrrell,Councillor,Kilkenny County Council
seighin o ceallaigh,Seighin O Ceallaigh,Councillor,Limerick City and County Council
senior planning executive,Senior Planning Executive,Head of Unit,Fingal County Council
senior planning executive officer,Senior Planning Executive Officer,Head of Unit,Fingal County Council
seosamh ocualain,Seosamh ÓCualáin,Councillor,Galway County Council
seosamh o haghmaill,Seosamh Ó hÁghmaill,Secretary General,"Department of Arts, Heritage and the Gaeltacht"
shane brennan,Shane Brennan,Councillor,Dun Laoghaire-Rathdown County Council
shane cassells,Shane Cassells,Councillor,Meath County Council
shane clifford,Shane Clifford,Councillor,Limerick City and County Council
shane donnellan,Shane Donnellan,Councillor,Galway County Council
shane o brien,Shane O'Brien,Councillor,Dun Laoghaire-Rathdown County Council
shane o reilly,Shane O'Reilly,Councillor,Cavan County Council
shane o shea,Shane O'Shea,Councillor,Cork City Council
shane ross,Shane Ross,Minister,"Department of Transport, Tourism and Sport"
sharon corcoran,Sharon Corcoran,Director of Services or Equivalent,Cork County Council
sharon keogan,Sharon Keogan,Councillor,Meath County Council
sharon tolan,Sharon Tolan,Councillor,Meath County Council
shaun cunniffe,Shaun Cunniffe,Councillor,Galway County Council
shay brennan,Shay Brennan,Councillor,Dun Laoghaire-Rathdown County Council
shay cullen,Shay Cullen,Councillor,Wicklow County Council
sheila willis,Sheila Willis,Director General,Department of Justice and Equality
simon coveney,Simon Coveney,Minister,Department of Agriculture
simonetta ryan,Simonetta Ryan,Assistant Secretary,Department of Social Protection
simon harris,Simon Harris,Minister,Department of Health
sinead burke,Sinead Burke,Councillor,Meath County Council
sinead carr,Sinead Carr,Director of Services or Equivalent,Tipperary County Council
sinead dooley,Sinead Dooley,Councillor,Offaly County Council
sinead guckian,Sinead Guckian,Councillor,Leitrim County Council
sinead maguire,Sinéad Maguire,Councillor,Sligo County Council
sinead sheppard,Sinead Sheppard,Councillor,Cork County Council
siobhan ambrose,Siobhan Ambrose,Councillor,Tipperary County Council
siobhan o?halloran,Siobhan O’Halloran,Chief Nursing Officer,Department of Health
siobhan whelan,Siobhan Whelan,Councillor,Waterford and City Council
skill set has not engaged on behalf of clients in ireland to date but will make a number of submissions in the near future in relation to eu commission proposals.,Skill Set has not engaged on behalf of clients in Ireland to date but will make a number of submissions in the near future in relation to EU Commission proposals.,Minister,"Department of Communications, Energy and Natural Resources"
sonya kavanagh,Sonya Kavanagh,Director of Services or Equivalent,Kildare County Council
sonya stapleton,Sonya Stapleton,Councillor,Dublin City Council
sorca clarke,Sorca Clarke,Councillor,Westmeath County Council
sorcha nic cormaic,Sorcha Nic Cormaic,Councillor,Dun Laoghaire-Rathdown County Council
sorcha oneill,Sorcha ONeill,Councillor,Kildare County Council
stephen brophy,Stephen Brophy,Customer Services,Department of Children and Youth Affairs
stephen cunningham,Stephen Cunningham,Councillor,Cork City Council
stephen donnelly,Stephen Donnelly,TD,"Dáil Éireann, the Oireachtas"
stephen keary,Stephen Keary,Councillor,Limerick City and County Council
stephen lynam,Stephen Lynam,Special Adviser,Department of Public Expenditure and Reform
stephen mckee,Stephen McKee,Councillor,Meath County Council
stephen o shea,Stephen O'Shea,Adviser to Minister,Department of Justice and Equality
steven matthews,Steven Matthews,Councillor,Wicklow County Council
susan mccarthy,Susan McCarthy,Councillor,Cork County Council
susanne doyle,Susanne Doyle,Councillor,Kildare County Council
susan o keeffe,Susan O'Keeffe,Senator,Seanad
suzanne coogan,Suzanne Coogan,Special Advisor,"Department of Communications, Climate Action & Environment"
suzanne jamal,Suzanne Jamal,Councillor,Meath County Council
suzanne nally,suzanne Nally,Assistant Secretary,"Department of Arts, Heritage, Regional, Rural & Gaeltacht Affairs"
syl carruth,Syl Carruth,Specialist,"Department of Transport, Tourism and Sport"
sylvester bourke,Sylvester Bourke,Councillor,Wicklow County Council
tadgh fallon,Tadgh Fallon,Adviser to Minister,Department of Health
tadhg mcdonell,Tadhg McDonell,Director of Services or Equivalent,Kildare County Council
tadhg mcdonnell,Tadhg McDonnell,Director of Services or Equivalent,Meath County Council
tania doyle,Tania Doyle,Councillor,Fingal County Council
ted leddy,Ted Leddy,Councillor,Fingal County Council
ted lucey,Ted Lucey,Councillor,Cork County Council
ted tynan,Ted Tynan,Councillor,Cork City Council
tereasa mcguire,Tereasa McGuire,Councillor,Mayo County Council
terence flanagan,Terence Flanagan,TD,Dáil Éireann
terence o?keeffe,Terence O’Keeffe,Director of Services or Equivalent,Dublin City Council
teresa cody,Teresa Cody,Assistant Secretary,Department of Health
teresa keegan,Teresa Keegan,Councillor,Dublin City Council
teresa leonard,Teresa Leonard,Assistant Secretary,Department of Social Protection
teresa murray,Teresa Murray,Councillor,Kildare County Council
teresa walsh,Teresa Walsh,Director of Services or Equivalent,South Dublin County Council
teresa whelan,Teresa Whelan,Councillor,Mayo County Council
terrence slowey,Terrence Slowey,Councillor,Donegal County Council
terry brennan,Terry Brennan,Senator,Seanad
terry leyden,Terry Leyden,Senator,Seanad
terry obrien,Terry OBrien,Councillor,Kerry County Council
terry oflaherty,Terry OFlaherty,Councillor,Galway City Council
terry quinn,Terry Quinn,Special Advisor,Department of Social Protection
terry shannon,Terry Shannon,Councillor,Cork City Council
therese ruane,Therese Ruane,Councillor,Mayo County Council
thomas byrne,Thomas Byrne,Senator,Seanad
thomas connell,Thomas Connell,Director of Services or Equivalent,Galway City Council
thomas gould,Thomas Gould,Councillor,Cork City Council
thomas healy,Thomas Healy,Councillor,Sligo County Council
thomas kinsella,Thomas Kinsella,Councillor,Carlow County Council
thomas moloney,Thomas Moloney,Councillor,Cork City Council
thomas murphy,Thomas Murphy,Director of Services or Equivalent,Wicklow County Council
thomas pringle,Thomas Pringle,TD,Dáil Éireann
thomas redmond,Thomas Redmond,Councillor,Kildare County Council
thomas welby,Thomas Welby,Councillor,Galway County Council
tim broderick,Tim Broderick,Councillor,Galway County Council
tim brosnan,Tim Brosnan,Councillor,Cork City Council
tim caffrey,Tim Caffrey,Chief Executive Officer,Longford County Council
tim duggan,Tim Duggan,Assistant Secretary,Department of Social Protection
tim durkan,Tim Durkan,Councillor,Kildare County Council
tim lombard,Tim Lombard,Councillor,Cork County Council
tim lucey,Tim Lucey,CEO,Cork County Council
timmy collins,Timmy Collins,Councillor,Cork County Council
timmy dooley,Timmy Dooley,TD,"Dáil Éireann, the Oireachtas"
tim walsh,Tim Walsh,Customer Services,Wicklow County Council
tina mcveigh,Tina McVeigh,Councillor,Dublin City Council
tj fleming,TJ Fleming,Professional Officer II,Department of Social Protection
toireasa ferris,Toiréasa Ferris,Councillor,Kerry County Council
tomas breathnach,Tomás Breathnach,Councillor,Kilkenny County Council
tomas o curraoin,Tomás Ó Curraoin,Councillor,Galway County Council
tomas sharkey,Tomás Sharkey,Councillor,Louth County council
tom barry,Tom Barry,CEO,Carlow County Council
tom boland,Tom Boland,CEO,Department of Education and Skills
tom brabazon,Tom Brabazon,Councillor,Dublin City Council
tom conaghan,Tom Conaghan,Councillor,Donegal County Council
tom connolly,Tom Connolly,Councillor,Mayo County Council
tom coughlan,Tom Coughlan,CEO,Clare County Council
tom cronin,Tom Cronin,Councillor,Waterford and City Council
tom cunningham,Tom Cunningham,Councillor,Louth County council
tom enright,Tom Enright,Chief Executive Officer,Wexford County Council
tom fabozzi,Tom Fabozzi,Special Adviser,Department of Foreign Affairs and Trade
tom farrell,Tom Farrell,Councillor,Westmeath County Council
tom fleming,Tom Fleming,TD,"Dáil Éireann, the Oireachtas"
tom fortune,Tom Fortune,Councillor,Wicklow County Council
tom gilligan,Tom Gilligan,Director of Services or Equivalent,Mayo County Council
tom hanney,Tom Hanney,Assistant Secretary,Department of Foreign Affairs and Trade
tom hayes,Tom Hayes,Minister of State,"Department of Agriculture, Food and the Marine"
tom healy,Tom Healy,Councillor,Galway County Council
tom kelly,Tom Kelly,Councillor,Meath County Council
tom kilfeather,Tom Kilfeather,Director of Services or Equivalent,Sligo County Council
tom macsharry,Tom MacSharry,Councillor,Sligo County Council
tom mcellistrim,Tom McEllistrim,Councillor,Kerry County Council
tom mchugh,Tom McHugh,Councillor,Galway County Council
tom mcnamara,Tom McNamara,Councillor,Clare County Council
tom mulhall,Tom Mulhall,Councillor,Laois County Council
tom murphy,Tom Murphy,Councillor,Dun Laoghaire-Rathdown County Council
tommy annesley,Tommy Annesley,Councillor,Wicklow County Council
tommy broughan,Tommy Broughan,TD,"Dáil Éireann, the Oireachtas"
tommy byrne,Tommy Byrne,Councillor,Louth County council
tommy cullen,Tommy Cullen,Councillor,Wicklow County Council
tommy kavanagh,Tommy Kavanagh,Director of Services or Equivalent,South Dublin County Council
tommy mckeigue,Tommy McKeigue,Councillor,Offaly County Council
tommy reilly,Tommy Reilly,Councillor,Meath County Council
tommy ryan,Tommy Ryan,CEO,Cavan County Council
tom neville,Tom Neville,Councillor,Limerick City and County Council
tom o driscoll,Tom O'Driscoll,Councillor,Cork City Council
tom o leary,Tom O'Leary,Councillor,Fingal County Council
tom o mahony,Tom O'Mahony,Secretary General,"Department of Transport, Tourism and Sport"
tom sheahan,Tom Sheahan,Senator,Seanad
tom stritch,Tom Stritch,Director of Services or Equivalent,Cork County Council
tom ward,Tom Ward,The Courts Service,The Courts Service
tom wood,Tom Wood,Councillor,Tipperary County Council
tony buckley,Tony Buckley,Assistant Secretaries or Equivalent Grades,The Office of the Revenue Commissioners
tony dempsey,Tony Dempsey,Councillor,Wexford County Council
tony duggan,Tony Duggan,City Architect,Cork City Council
tony fitzgerald,Tony Fitzgerald,Councillor,Cork City Council
tony flynn,Tony Flynn,Director of Services or Equivalent,Dublin City Council
tony gaynor,Tony Gaynor,Professional Officer II,Department of Education and Skills
tony holohan,Tony Holohan,Chief Medical Officer,Department of Health
tony larkin,Tony Larkin,Director of Services or Equivalent,Wexford County Council
tony mcloughlin,Tony McLoughlin,TD,"Dáil Éireann, the Oireachtas"
tony mulcahy,Tony Mulcahy,Senator,Seanad
tony murphy,Tony Murphy,Councillor,Fingal County Council
tony obrien,Tony OBrien,Councillor,Clare County Council
tony o brien,Tony O'Brien,Director General,Department of Health
tony smyth,Tony Smyth,Director of Engineering Services,The Office of Public Works
tony ward,Tony Ward,Councillor,Roscommon County Council
tony williams,Tony Williams,Adviser to Minister,Department of the Taoiseach
tracey conroy,Tracey Conroy,Assistant Secretary,Department of Health
trevor gilligan,Trevor Gilligan,Councillor,South Dublin County Council
trevor golden,Trevor Golden,Councillor,Meath County Council
trevor o clochartaigh,Trevor Ó Clochartaigh,Senator,Seanad
una d arcy,Una D'Arcy,Councillor,Westmeath County Council
vacancy,Vacancy,Assistant Secretary,"The Houses of the Oireachtas, Parliamentary Services Division"
(vacant) ,(Vacant) ,Secretary General,Department of Justice and Equality
valerie byrne,Valerie Byrne,Councillor,Roscommon County Council
valerie o sullivan,Valerie O'Sullivan,Director of Services or Equivalent,Cork City Council
valerie o?sullivan,Valerie O’Sullivan,Director of Services or Equivalent,Cork City Council
val smith,Val Smith,Councillor,Cavan County Council
vicki casserly,Vicki Casserly,Councillor,South Dublin County Council
victor boyhan,Victor Boyhan,Councillor,Dun Laoghaire-Rathdown County Council
vincent blake,Vincent Blake,Councillor,Wicklow County Council
vincent campbell,Vincent Campbell,Director,Department of Public Expenditure and Reform
vincent jackson,Vincent Jackson,Councillor,Dublin City Council
vincent murray,Vincent Murray,Transporation & Travel/Environment,Limerick City and County Council
vincent norton,Vincent Norton,Director of Services or Equivalent,Dublin City Council
vivian geiran,Vivian Geiran,Director,Department of Justice and Equality
vivienne crowley,Vivienne Crowley,Councillor,Limerick City and County Council
walter lacey,Walter Lacey,Councillor,Carlow County Council
wayne forde,Wayne Forde,Councillor,Meath County Council
wayne harding,Wayne Harding,Councillor,Meath County Council
william aird,William Aird,Councillor,Laois County Council
william beausang,William Beausang,Assistant Secretary,Department of Public Expenditure and Reform
william lavelle,William Lavelle,Councillor,South Dublin County Council
william o donnell,William O'Donnell,Councillor,Limerick City and County Council
william parnell,William Parnell,Assistant Secretaries or Equivalent Grades,"Department of Jobs, Enterprise and Innovation"
william paton,William Paton,Councillor,Carlow County Council
william quinn,William Quinn,Councillor,Carlow County Council
willie callaghan,Willie Callaghan,Councillor,Kildare County Council
willie crowley,Willie Crowley,Councillor,Kildare County Council
willie fitzharris,Willie Fitzharris,Councillor,Wexford County Council
willie kennedy,Willie Kennedy,Councillor,Tipperary County Council
willie o dea,Willie O'Dea,TD,"Dáil Éireann, the Oireachtas"
willie penrose,Willie Penrose,TD,"Dáil Éireann, the Oireachtas"
winston bennett,Winston Bennett,Councillor,Cavan County Council
yvonne walshe,Yvonne Walshe,Adviser to Minister,Department of Justice and Equality
